10001d9a,mDiffusion0HorizontalDegree
1274cfb,mRiseBaseSpeedComeOverRate
127b7f01,mCoopFirstGroupBulletFirstDamageMaxValue
128b980,Hair3_L_0005
128cde58,mBallTargetOffset
12974959,mBurst_Radius_Near_Coop
129c121b,mRiseBaseSpeed
12aaaeff,mPatrolSearchDistance
12ad6f8a,BreadAroundPull
12bff3b8,mPlayerTurnSquidAcc
12c1beb3,mAButtonBox
12ccbbae,mCurveBaseSpeedComeUnderRate
12d01488,mDamageAnimFrame
12da8176,mVertInkBarLength
12e115f7,mSangoFadeTime
12eb414f,Hair3_L
12ed7906,mRotateRate
12f0fd57,mActionParamsBaseName
12fe5b93,mWeaponHitStop[0]
1301676e,mBombDamageRadius
1305d6bb,mDynamicsSphereParams[1]
1306a9c3,DashSt
130e4159,mMaxBoostSpeed
1321a55c,mKnockBackCoreImpact
132cf36a,mSensorSphereOffset
1331d5c1,mSwingDownVMaxRepeat
1334226a,mNamazu_OffsetY
1340dd60,mSamplePosOffset
1341d124,side1_L_0001
1342dd72,mThirdGroupBulletSecondAfterPaintNearRate
1359cf12,mEdFrame
136b6abc,mLookDir
137ae9cd,mKnockBackAquaBallPlayerImpact
137f858e,mLand_GravGndK
138376a0,mStartRt
1384b890,mFrictionSponge
13887e5,mTargetOutCircleFrame
13948b73,Wait_Plaza_TablePhone
13975541,RunHold_Umbrella
1397861e,mIgnoreTime
13982c2a,mFirstGroupAfterGroundAddSpeedOffset
13a8f02d,mCentralStation_TrainArriveFade
13abdda5,mThirdGroupGroundMaxSpeed
13b4291e,mFesSignaturePoseInterp
13df3271,mEachGroupFirst_WallDropPaintTarget1Speed
13e9a106,mColPlayerRadius
13f53c56,SuperRare
13fa52b8,mBurst_Damage_Near_Enemy
13fb9a4c,Rolling_Twins
13fdd149,mFirstPeriodMaxChargeFrame
13ffcd77,mMaxStepDiv
140bbee,mStickDownRt
14195363,mBurst_SplashVelH_Enemy
1422b283,back1_0201
1425c601,mBurst_SplashAroundFuzzyRate_Ch1
1429c993,mRainStrategyInkBarableParams
14373a7d,AttackL0
143b4dff,mUnsendElementUseRate
1449847a,mDamageStrOffsetX
144cd5a7,Geyser
1454417e,backB_0104
146dc459,mInitPaintPos[2]
14763764,mThirdGroupSplashDrawRadius
147d20e2,mEachGroupAfter_WallDropPaintTarget2AlphaMid
1481a5eb,side1_R_0004
148898d,Fly
14922554,Sit_Talk
14925c1a,mBombDamageRate
14997831,mSplashSpanFrame
14a1af55,mJumpGravity
14a1fdf1,ServiceWaitAll00
14a7381b,mEachGroupFirst_WallDropPaintTarget0Alpha
14d04902,mSinkOffsetY
14dd94d7,mHitWallSplashFirstLength
14e62162,mConveyerRadius
14f363cb,mDetectPlayerIsNearDistanceXZ
14f4c625,front2_0005
14f74573,Bomb
150317e3,mPlayerKnockBack
15070e90,mParabolaOffsetX
151b81e0,mSpeedMaxDist
152509c8,mChargeHitImpact
1526e401,mPlayerMotionBuffer[3]
1529fad9,mPaintGauge_VelGnd
1534c6da,Xpose_00_Nrml
15374b48,WalkBackHold_BigShot
15429a4a,mMove_Acc_SettingOcta_
1543a085,Jump_Tornado00
1543c820,mSurpriseFrame
154e5193,mUseFurnitureAnim
155855a7,mBomb_KnockBackRadius_MaxCharge
155a43fe,mMissShotCycle
15614ddf,mSplashDamageOutsideMinDegree
156c3b15,mTakopterBaseAcc
15747724,Wait_EnterTrain
1594c5a0,Tnk_Coop_Walk
15a04c70,mShotRandomLRAngle
15ad7904,BreadAroundPush
15b75b52,Wait_Plaza_LookAround
15bad0d,mObjColCapsuleParams
15bdad9a,mPunchPattern[0]
15c2a4c4,mShotNumOneTarget4
15c43435,mCoopBurst_PaintR
15dc050c,mOffsetEffectSplashBirth
15dc5c9f,back3_0201
15f286ca,mOffsetY
15f3b80a,mCollisionIndex
1607c7ea,AttackLoop
1609445,CutterEd
161ed07c,mSplash_B_DamageRateBase
1620c871,mVLiftCheck_Radius
163b34e1,ChargeTurnR
163cc23,rearSpeakerGain
164106ad,mColPlayer_ColR
164a7930,Appear_Z
165da2d5,Wait_LocalLobby_Reception
1671edec,mSplash_B_CollsionRadiusForPlayer
16739014,NelsStatue
167c37d4,mMsgOnLeapStampCountNum
167d841a,mReflectionHitWall
167f1e7c,mSwingDownHEdFrameOnHit
16830f14,mSplashPaintWidthOneActive
1693cbc9,mIsApplyOriginal
169b71c7,mPaintGauge_ShotDirXZ_RotDegH
16a7992a,mRejectMagHumanH
16ace4fa,center1_0300
16b21021,mPeriod_FirstHigh
16b56dfb,mThirdGroupWallCrossBoundRate
16c25e29,mRainAreaMoveWaitFrame
16c51117,mFirstGroupSplashColRadius
16c9bed7,Attack_Helmet
16cc09,mGroundVictroyLiftBoundOutDegree
16cebc2a,mRealTakopterAppearFrameInRefresh
16cf195f,mFlyAwayToBigPinchFrame
16d2af2b,Wait_Plaza_Puddle
16da471,mPushBackDistPercentDamage_AfterExpand
16dd4eb0,Shoot
16e18489,NoMoney_St
16e67997,Move
16ee3064,Start2_Rig
16f9c87e,mInkBarEnclosureSpeedDegPerSecond
16fd31d2,mMoveSpeedChaseToSwingSink
1702cea7,mImpactUmbrellaCanopy
17042e3d,mSideInkBarOffsetZ
1706a21,mWaterCutter
170b2cc8,mEnemyWeaponSpSuperMissileParams
171694c9,mDegReturnAway
17218e40,mNoiseBaseFreq
17270968,mShockWaveFrame
173045df,amiibo_WaitFreeze_B
173b148b,mEnableCausticsLight
173bc447,mShockWaveDamage
173f2acc,Hair1_L
1749f0d2,Vomit
17505ee6,mSpiralSplashSameTimeBulletNum
17517b82,mEnvParamsBuffer[1]
1756cd88,mSumisoaePitchDownRate
175a16e5,mRiseFall_AltitudeCheck_OfstY
175f655,mSplash_A_FirstAroundAroundCollisionRadius
1763bf82,mBurningTime
1768e006,mTiltCenterY
176cfb48,Hair4_L_0003
176d7bf6,mFacePaintClearFrameInQuickPush
1774dc07,side1_L_0001
1777e33a,mGuideSideBulletNumInGroup
1781ec,mCollisionRadiusFar
178795ab,mNearAlphaStart
178e6803,mFirstGroupBurst_KnockBackCoreImpact
17925bdf,mPlayerSideJumpTimeMin
1793c8be,mSplash_B_FirstAroundBulletNum
17957264,mDefenceObjRadiusMaxFlickerCure
17a1aacb,mKeyBuffer[14]
17b2ad5b,mMsgLv1TimerSec
17b69dfd,mSearchFadeOutFrame
17c37ee9,Close
17d8a0ab,mFoculDistance
17d93637,mForgetFrame
17dc7fe1,mBurst_Radius_Near_Ch2
17f65ad7,mCreateSplashLength
18049b4f,mFootPrintAnimBuffer[14]
181081f1,mKColQuakeFreqency
181878ec,mAttackWaitFrame00
181c8c66,mAmbushAppearAcc
1827db37,Wait_Making01
18323dd0,mPillarPositions
18338106,mOuterConeAngle
1838152e,mCheckRadiusFoot
1839a8e7,mJrTransform
1841ebee,MoveVel_Stealth
185a1d41,Lose_Rllr
1861c8a8,mSplash_A_PositionOffsetY
186610e,mInkBarableParams_Lv2
186de3e,mRollerDamage
1872d6ff,mRotSpeedAcc
1875d90e,mChaseTargetDistance
187d3149,mSplash_D_PaintFarR
1884627,mPaintGauge_ShotDirXZ_DiffDegL
1886db00,mLandSplashPit
1888547c,mFlyOffsetX
188a8055,mSpeedLastHit
1893813b,mPlayerLookStartTimeAfterServiceAnim
189872d3,mUsePlayerDist
18baab1f,mRejectParams
18bb8763,mStandUpImpactSide
18bbb428,mRotateFrameInQuake
18c22c27,Jet_SprLanding_lastMin
18d43616,pauseMuteOffSec
18dcd4fd,WaitHold_BombLauncher
18e26c6e,mImpactBallCenterOffset
18e549f0,WaitGrindRightTurn_Nrml
18ebc7a2,mArmLength_Normal
18ec6460,mLastSuccessFrame
18f649fc,mSoundPitchFrame
1914c178,mEscapeNoseDamageLevel3
191effac,mMoveCancelRange
19209fd3,mEscapeBomb_Dist
192262ad,mMarkingFrameHigh
192a5c6,mBindEnemy0
1931d68c,mJumpGnd_Charge
1932e86a,mInvokeMotion_Frm
193f8828,mBodyRotStopFrame
19424cb6,mBoundPaintRadiusWallRate
1944330c,mShrinkFrame
194b9921,mAttackPatternInFirst_Lv3
194d1b3,mChargeSpeedFast
1950e3ee,mReactHumanOnFloor
1958c574,mBombSpeed
1959aa8c,mActorOffset[4]
19690eac,mStaticCapsuleParams[12]
197d4fc7,mQuakeAmplitude
1981be1,mWeakDisappearFrame
19858060,mFootPaintRadius
1985b3dd,mAverageSpeed
19893f3a,mQuickChaseWaitFrame
19931a52,mDynamicLightGridOffset
199f2b65,mPillerRadius
19a408f,mSkinColorId
19aef086,mBackApperCheckRate
19b6a741,OpInk_VelGnd_ShotK
19b70539,mWarpDestroyDamage
19ca57b5,mMaxHpMid
19d7b4ce,mModelScale
19f1e04f,mBurst_SplashPitL_Ch0
19f3b3fc,WaitGrind_BBll
19f79d1a,mRandomRewardBuffer
1a00ef92,mCreateSplashNum
1a04461c,mCrossPaintRayLength_MaxCharge
1a0c086e,mAttackAreaSize
1a1b0780,mPaintNearestSplashPaintScale
1a1cb9bc,RunHold_RainCloud
1a26b849,mFrameNoBarrierExtend_BankGolden
1a36620d,AnimParams
1a3a0759,WaitHold_WtrCtr
1a403401,mPaintCheckPosOffsetSpeedRateWallY_D
1a41c29f,mDamageStopFrame
1a545262,mSplash_B_InitAddDegXOffset
1a5efa9b,mDisableStickMoveSpeed
1a620d62,paint
1a65561d,BreadQuickPull
1a67db75,mIsTwoSided
1a6b8bff,mRotSpeedFind
1a82d73d,mTimerFrame
1a99101a,mPillarRadius
1a9cffda,mSpringK
1aab097e,mNoTargettableMapPointDist
1ab9d81b,mBgmMainState
1ae4c8a7,mLevelBuffer[2]
1aeda6c1,mBalloonOffset
1afba88a,mAttackCheckRadius
1b1a145c,Hair2_R_0004
1b280294,mBurst_Offset
1b3b0dcf,mSphereSplashRoundAxisX3
1b45231a,mCameraBuffer[18]
1b4bfadf,mRainAreaMoveSpeed
1b6b3b7d,mDeparture_AmbienceDuckingParams
1b6c1e09,mKillIkuraEvtRush
1b70f0f1,mFly_WallKr
1b756a1b,mZakoActiveMaxEach
1b9137ec,mFirstGroupBulletFirstPaintFarR
1b97f361,mRotLimitAngleChargeStWait
1ba4894d,mFootSplashSpanFrame
1ba7df6d,Damage_Twins
1bb76ff5,mMaxHp
1bb83d4a,mDuckers[1]
1bb9e947,mRiseFall_ToSquid_GravityDownSt
1bc0533e,Sit_Sleep_St
1bc1a5ee,Wait_Making00_Octa
1bc77cd9,mHitPlayerDrapCollisionRadius
1be5046e,mRandomRate
1be7f845,mTakopterNum
1be935bd,mGndCol_FallSpeedBack
1bf64357,mBackStepMoveAcc
1bfb1731,Sqd_Wait
1c0f7664,mCrossPaintRayLength_LastBoss
1c10332f,backA_0104
1c203722,Hair1_R_0002
1c210044,Hair1_L_0002
1c354e77,mBurst_Damage_HalfSphereThresholdY
1c4112fe,mPlayerKnockBackAngleDegAtSide
1c43e8f9,mPanelStopTimeU
1c52da07,ChargeStLoop
1c552b74,ToHumanStandby_BBll
1c56fc0,Sqd_Jump
1c6e9c76,mFlashWaitSpeedUp
1c761a18,mForgetFrameOct
1c7ff21,mSumisoaeTiming_Offset2
1c86c004,WalkHold_SprMissle
1c898689,mSecondGroupSplashDepthScaleRateByWidth
1c99781a,mDetectBreadIsFrontOfPlayerAngleDeg
1c9e9c59,mBattleStartDemo_ContinuePos
1ca624ac,mInterpFrame
1ca6eb41,mBoundVelY
1ca8c62e,mPaintNearCenterRadius
1cb464fa,mStampBigAttackMoveDist
1cb69f72,ThrowBomb_Umbrella
1cc60534,mStampEdWeakImpactColLength
1cc624fa,mReturnToPatrolSpeed
1ce2aaad,mAttackShapeHeight
1ce9f6d7,mFlakeRareIntens
1cfc9fd3,mQuakeFrameInShot
1d0402,mPlayerKnockBackInShudder
1d05120c,mImpactStartDist
1d0d3c77,mBreakPaintRadius
1d11c6,amiiboPose_StandingVss_02_BBll
1d1360af,mSpout_SplashDrawR_Third
1d16c074,mFuseTime
1d1a5423,mVertInkBarAttachPos
1d1ed92c,mSplashPaintRadius
1d205864,mRollerHitImpactYSwingDownH
1d25f29e,headphoneA
1d302271,mSurprisedMessageBuffer[1]
1d327371,mCurlScale
1d33fb94,mUseCustomMainLight
1d3f86c4,mReflectByEnemy
1d429f16,mShieldParams
1d491683,mBombPattern[3]
1d4d5e8e,mGuardStartRadius
1d4dff6b,Xpose_00_Rllr
1d5b952d,mFrameNoBarrierFirst
1d635320,Hair4_R_0005
1d654093,BreadQuickPush
1d6e483f,mHpAttack
1d711f7a,mDynamicsSphereParams[16]
1d757a0d,mThresholdForEnemy
1d79704e,mAirFall_FadeOutRate
1d7ec95e,mSplash_D_DamageRateOffset
1d8043bd,nape2_0005
1d86de2d,mbSilhouetteEnable
1d8bcfcc,side2_L_0004
1da41045,mColHeightBullet
1da57b0a,mStartAnimInterp
1da6bbe8,mStartExpandDistance
1da9493f,mSecondGroupBulletBoundPaintRadius
1dae2293,mLightCtrlLoopStart
1dafb9d2,mImpactForEnemy
1db64491,ChaseShot
1db6ebb0,MsnDemo_Start_Twins
1dc95979,mChallengeClearFrame
1dccac47,mJumpFrame
1dd0371b,mBombDamageRadiusNear_A
1dd2df05,mPunchHitDamageNormal
1dd3c2ac,FireW
1ddbf5f6,mPunchPattern[21]
1dde1b89,SeqMgrMissionOctaParams
1de137f3,mIsLeftHand
1dea634a,mSplash_A_WallDropPaintTarget2AlphaEnd
1debf855,mPaymentActionTimeFrame
1dff156d,mObjectEffect_Up_DamageRt_High
1e0143e5,mSelfDestructNoTargetFrame
1e11c26f,mCoopBurst_Damage_Near
1e14f8e5,mBurst_Damage_Far_Enemy
1e166d1e,mSecondGroupBurst_Damage_Middle
1e1a14e6,mFocusBoneLostLerp
1e272421,mFirstGroupBulletAfterCollsionRadiusForFieldOffset
1e2c6ee3,mPlayerSpeedMax
1e315f3,mNewsFestTransform
1e4b3dfe,legD1
1e53c376,mSpongeSoundLimit
1e612d57,mRollerSplashDamageK
1e65a939,mBurst_SplashVelHMid
1e66d7fb,mRotSpeedCharge
1e763667,mExplodeDamageFarRadius
1e76b545,mBulletSpeedBombCmnCore
1e8c372a,mProneCnt_LV1
1e90dfe6,mSpeedMove
1e955393,mShotMonitorRadius
1e964623,MoveVelRt_Human_Shot
1ea2ad6c,mTargetInCircleRadiusMid
1eaa1b96,mFullChargePaintRadiusRateLastSplashToOther
1ec9ef4,mHeightAttenuPower
1ecb7c84,mGuideSideGroup
1ed2c6d7,mColRadiusL
1ed7a854,mSensorParamsBaseName
1ed8aab2,BaseNoiseForFreq1
1ee059b3,back1_0004
1ef1b55d,mIsUseSprinkler
1f026936,mAdditionalChanceTimeOnRide
1f03ee10,mBuildOverRunRate
1f0aaf75,mStaticCapsuleParams
1f0c2980,SpinnerCharge
1f1e6756,mCanopyHitOtherCanopyVolume
1f1e6ab2,OffMapPhone
1f246b8c,mPaintVelThreshold
1f26439b,mKeyBuffer[3]
1f2df508,mChaseTargetAngle
1f37a123,mDynamicsSphereParams[26]
1f3fe6a2,mColHeightPlayer
1f49916f,mStRotRate
1f58dec9,mRotateAxisChangeFreq
1f5ebce2,mBulletCollisionRadiusForPlayerInitRate
1f6053b7,Level1Main
1f65883c,mOffsetY_Invisible
1f65f8ae,mSplashBulletForDieFrame
1f6fd074,mLostIkuraIntervalSecond
1f79282e,AppearSt
1f7e9cb0,backB1_0103
1f865b2c,mStaticCapsuleParams[9]
1f8eaef2,mRainCloudDamageInterval
1f9d4baf,mPunchPattern[11]
1fb4d56d,mSplashBetweenFullChargePaintRadiusRate
1fbaaa1e,mDynamicsParamsBuffer[1]
1fc4a549,mSplashBulletSpeedA
1fd56004,mContactJumpPanelMaxNum
1fd5c32e,TurnStopRight
1fdd47c6,mRainAreaFrame
1fe15d9e,mRadialFogLobeCtrl
2004550f,mDanceAnim[9]
2008b597,mMuzzleRotSpeedWalkingShot
2009ee68,BurstDamageRt_SubH
20234fe2,mBombDamageMiddle_B
2031f9b,SurprisedDummy
2032d438,mSwingAroundEdFrame
203fcf5e,mChargeStSpeed
2042f165,mLand_NrmGndKf
20505531,amiiboPose_Sitting_Drink_A
20572855,side1_L_0101
205a2f4e,mAreaParams[1]
205a5e32,mLookActionLerpSpeed
205e0907,MsnDemo_Start_Umbrella
205f2dde,Hair1_L_0201
20627a21,mBurst_CheckPaintUnderLength
206990c7,center3_0300
206e237f,mCameraBuffer[7]
20720c4e,mIsUseNavigateUI
20732474,mCanopySpeedGroundAddScale
207f5ae7,mDefeatRotRateInit
20882adc,mBlinkTime
20afd89,mStateWeight_InvRotate
20b36e5f,mHeightTable[8]
20bc717d,ToHumanStandby_Rllr
20c22699,mAutoJumpFinishNoBindFrame
20c83911,mWeaponHitStop[2]
20cc412,mApproachStartRotateDegreeMax
20d2d934,mSideJumpRotBias_NoPose
20e90aef,mLabel
20eb7eaf,Hair1_L
20efe5e5,Hair1_R_0001
20f5d18a,mAttackIntervalFrameInLong
20f80703,mRandomLR
21042769,mMaxSwitchOnFrame
21165a85,mVBallDamageInterval
211699f,mBurst_Radius_Far_Coop
21223849,mSecondGroupBulletAfterFrameOffset
212ca8e3,mMissileInterval
2131f3a3,mBrakeStateAirResistXZ
2133b439,mDynamicsSphereParams[3]
2135448f,mBaseYLerpRate
2140bb95,back2_0004
2149a872,mBreadDamage
214c0d9b,mLaserLerpRateHighWithoutShot
2164fad4,mFallDownFrame
216deeff,mMarkingEffectOffsetY
2184c749,mObjectDamageRateHigh
218ed348,mRotateFreq2
21945646,mInitVelFirstPeriodMaxCharge
21a4a562,Xpose_00_BBll
21b355fa,mTargetChaseBaseSpeedComeOverRate
21cbb9d5,side2_R_0001
21e4ac0d,mHideCameraDistY
220b207f,mSecondGroupCenterLine
2215b6dc,TouchIC_Chrg
221f6309,mBurst_Damage_Middle_FullCharge
22220d0c,mIsAreaPattern
22302c1b,mPunchMoves[2]
22314079,mGenerateNumParSplit
2235cd3b,mIsAlwaysFindNode
2238435a,mPitchAngleDegDown
223ba9ef,mParabolaOffsetXRate
2248095a,mKnockBackNoBarrierOff
2279f0a6,Hair2_L_0001
2291d45b,mBindOffsetY_MapObj
22925a67,mQuakeFrame
22a31e2e,mSinkableParams
22a3219,mFlySplash_MinScaleClamp_Ch2
22a8346,mSecondGroupBulletFirstCollsionRadiusForField
22aaee2e,m_Str32
22af0684,mSearchablePlayerForNpcOctaParams
22b18ef6,mHitDamage
22b8e678,mBombCoreRadiusFar
22c4dee,mCoopSecondGroupBulletDamageRateBias
22c8bfce,WalkAim_Glng
22ca6e6d,mObjectEffect_Up_DamageRt_Mid
22d10cd6,mEnemyWeaponShooterParams
22d580b1,mCoopInkConsume
22d7439b,mJetFootDamagePerFrame
22d96d97,MissileSt
22dd9f0d,mSwingDownVDist
22e9feb7,mEnableSkyDome
22f0a28e,mSecondGroupSplashLastOccur
2306c1e8,mPillarPullFrameSincePlayerOnPillar
23150762,WaitHold_Chrg
2318b6eb,mDegJumpBiasStartFrame
23346cca,mFirstGroupBulletFirstPaintNearD
233937b7,mSplashDamageMinValueDepletion
233a000a,mActionCameraInterp
233d5b7a,mQuantize
23486d53,mSplash_D_PositionWidthY
23490ed2,mBoneStretchMaxLength
234c7ae5,mSwingDownComboStWaitFrame
235045da,mCameraSwitchBuffer[3]
23539e6d,mAngleToPillarDeg
2361c226,front1_L_0105
23733311,mAttractSpeedtAcc
237b7dda,mTakopterLateAcc
2382782,mPressPosition
238c0947,mSimpleShotNumMaxOnField
238c27c,mReadyLongTextLength
2390ec8d,mAngleLimitY
23a039e4,mBurst_Radius_NearMid
23a4efa6,backA1_0103
23a5b7e1,mAttackPatternInMiddle_Lv3
23a9ed87,mMeshScale
23aa6904,mMieScatteringAmplifier
23acff2a,mFirstGroupSplashLastOccur
23ada1ab,DamageBig
23b54620,mServiceAnimFrameArray
23c264db,mCanons[8]
23c7f797,mWaterFall_Octa_FadeOut
23d02b26,mTurnDegree
23d9bfb,mRefreshDemoLv2
23daf18c,mDeltaAngle
23db39bc,mAccShot
23e9de9a,Hair1_R_0005
23edde1,mBaseSpeedComeUnderRate
23f3d8f9,mJumpVelPlayer
23fbfb23,mRotSpeedShot
23fce897,mDamageStrScale
23ff5750,mSurpriseCoolDown
24013551,SwingDownShot
2402d8d9,SakelienBomber
2403f2d0,mDamageMax
24051ebe,mInkBarRainParams
24117cfa,RunAim_Glng
2419e73,amiiboPose_StandingVss_01_Chrg
241f9558,mEnableEnvMapLight
2429068c,mWallLimitSpeed
242b591,mFullChargeDistance
24380bc3,mThirdGroupBulletAfterDamageRateOffset
243d82c9,VeryRare
24447960,WaitHold_GHoko
24588307,Up
245a133a,mFrameOffsetMaxDegree
246457be,mDamage
2474e8c8,mEscapeNoseDamageLevel2
24790702,mDistanceOfReactionForStep
247aef98,mMainLightDir
24838ebc,mFactor
2489e57f,SurprisedA
248cd0ad,mInterpolationBoundRate
248f269f,mCommon
2491c3b0,mIgnoreRejectFrame_Fall
2491c9ff,mBurst_SplashPitL_Ch1
2496f16c,mNoticeFrameOct
24a3d7ff,mDiagonalCollideExplodeAngleDeg
24a5d97a,WalkHold_Glng
24af1b06,mJumpAttackEdFrame
24b2d77,mWallDropPaintTarget2AlphaMid
24b34748,Lose_BBll
24b71c4f,mFallSpeedCoefXZ
24c0e451,mSecondGroupSplashPaintRadius
24c5ba51,mSideStepInkRecoverStop
24c8eb4b,mUpDownEnabled
24cb46f2,mNoiseUVOffset_Base
24daab54,mSplash_B_FirstAroundCenterCollisionRadius
24e76310,mBackRate
24e8681b,mCylinderHeight
24e9e827,mSearchRotVel
24f33f41,mDemoPos
24f3628c,side1_L_0004
251ae9f5,WaitGrind_Rllr
251f2962,mVoiceActorInLastBoss
253efe7,mStartPointMaxScale
2547f287,Wait_Making00
255583ba,mSummonGenerateFrame
25574f96,mNoBulletDamageMission
25589a62,Hair2_R_0002
25671900,mEnvParamsBuffer[3]
2576a4ea,mFrameRepairedNoDamage
2578515c,mAttackWaitFrame01
2580efca,mFirstHalf
259a9b3f,mIsAimForward
25af13af,mTargetChaseGroundMaxSpeed
25b22d5d,attack
25ce2bfd,mDistRate
25d0f21d,mBombDamageRadiusMiddle_B
25d26c95,mExtractTiltAngle
25d38fe3,back1_0201
25e125b,mCameraBuffer[19]
25e70873,mVoice01Timing
25e87dcc,mFlyOffsetY
25e9a9e2,mBombCoreRadiusRateMid
25ee1424,Drawing
25f02c48,mPlateTakoyakiInvisibleFrameMin
25f1e12,mOppositeKnockback
25f6d7bd,mAllowMoveDeg
25f8578a,mDamagableParams
25f93ee2,mMaxHeight
2601ba30,mPillarOutExtraFrame
2603cc07,mPlateTakoyakiInvisibleFrameMax
26045ed5,TouchIC_Glng
260aa350,mPlayerKnockBackInWall
260f06ba,mRejectNetFakeJump
2619df63,mBurst_SplashVelL_LastBoss
2623f448,back2_0201
26336cd4,mScatterSplashMaxSpanFrame
26531dac,mFinalCrushRotSpeedMaxDegPerSec
265b247f,mSphereSplashRoundAxisX2
265ba6db,mInitPaintPos[0]
267368,mAppearHeight
26786688,mFootPaintChangeCntMax
269989cf,mPlayerKnockBackAtVertical
26a78d5f,nape3_0201
26ab280f,mCoopSplashDamageInsideMaxValue
26af8d9e,mCylinderResolution
26b3b653,Angry
26b4da20,Wait_LocalLobby_MaintenanceA
26b9a5b7,center5_0300
26daf051,mSplashAllRadiusDepletionRate
26dfe62c,Shoot_BigLaser
26e00d11,Blend
26fa343b,mBurst_SplashVelL
2704ef6b,WaitHold_Glng
270ae802,mPaintGauge_ShotDirXZ_RotDegH_Expansion
27108683,mPlayerMotionBuffer[1]
271bf87d,mOverwrapXlu
271c707c,mGuideDrawLine
274501b2,mSend
27461f3d,mDegPitH
274a0312,mMegaCleanerColRadius
274a3173,mHitEffectLimitSpanFrame
2758de69,mConditionSensorBufferNum
27597d3c,mPlayerTurnThreshold
2770cd6b,mWallHitPaintRadius
277a9f37,TouchIC_Umbrella_Dash
27801c74,mArmJointAccRateByMove
278bcf18,mPunchPattern[2]
279846c1,mSecondGroupBulletDamageRateBias
2798fddd,mIsAttackSink
27a19170,mInitPunchCoolDown
27afe308,mSplashPaintRadius_MaxCharge
27be7755,mPaintDistance
27cc1c1,mWeakColRadiusTillGrow
27dd3151,mDamageInfoOffsetY
27e785cb,mShotRandomDegreeExceptBulletForGuide
27e7f3,Damage_Nrml
27f0129f,mDamageMin
28015605,mColHeight
280263a0,mCameraEvaluatePos
28037aa1,mBulletPierceFieldEnemy
28088dbe,mRollerHitImpactYCharge
2817f874,mGuideCenterCheckCollisionFrame
2817fa8b,mFriendTeamDamageRate
