10001d9a,mDiffusion0HorizontalDegree
119edac7,mSpeedAttackFirstDirectlyAttack
11a2c3e1,Hair02_00_Demo_Result_Carry
11aac7c9,JumpAttackEdLoop
11b35b56,mFarDist
11b4fd6b,mCrossPaintRadius_B
11c090bd,VacuumEx
11d3910b,mSpeedChaseTrig
11d6f09,nape2_0003_Rotate
11dd6ba1,mNpcTalkWaitFrame
11e0fe68,mMaxChargePaintRadiusRateToFull
11e19726,mShotActionAttackRange_Hero
11e5e729,mBulletColRadius
11ef3159,mChainIntervalFrame
11f0bd5f,mSplashDepthMinChargeScaleRateByWidth
11f6880,ConsumeRt_Sub_Low
11faa0e,mFootPrintAnimBuffer[15]
120aa99,interior[]
120c0b64,backB_0104
120c0b64,backB_0104_Rotate
12110b86,z_back_0004_Translate
12180199,front1_0005
12180199,front1_0005_AnimReduce
1229920f,mTailMinLength
122a9939,mSplashColRadius
122cc5c2,mNoPlaceDistance
122d35a,OpInk_Damage_Lmt
122d35a,OpInk_Damage_Lmt_Mid
122df0f2,animInterp_Obj_PlazaTurbanshells
1230ef5,neckline1_0001_Scale
123c8980,mThirdGroupBulletFirstPaintNearR
124b87dc,Wait_Plaza_Pitching
12504871,mCandidateFindShotCorrect
1250d4ff,mEndScale
125841fd,mCameraBuffer[5]
125e6b3c,front2_0104
125e6b3c,front2_0104_Rotate
125fbd7d,mIsSouthpaw
126496f3,Wait_Plaza_MobB
126c4dcc,mAreaParams[3]
126dabd9,mSpout_SplashVelH
1273f662,mSplashDamageOutsideMiddleValue
1274cfb,mRiseBaseSpeedComeOverRate
127b7f01,mCoopFirstGroupBulletFirstDamageMaxValue
128b980,Hair3_L_0005
128b980,Hair3_L_0005_Rotate
128cde58,mBallTargetOffset
12974959,mBurst_Radius_Near_Coop
129c121b,mRiseBaseSpeed
12aaaeff,mPatrolSearchDistance
12ad6f8a,BreadAroundPull
12bff3b8,mPlayerTurnSquidAcc
12c1beb3,mAButtonBox
12c564f7,front_top_0103_Scale
12ccbbae,mCurveBaseSpeedComeUnderRate
12d01488,mDamageAnimFrame
12da8176,mVertInkBarLength
12e115f7,mSangoFadeTime
12eb414f,Hair3_L
12eb414f,Hair3_L_AnimReduce
12ecec18,Hair00_05_Attack_BBll
12ed7906,mRotateRate
12f0fd57,mActionParamsBaseName
12fe5b93,mWeaponHitStop[0]
1301676e,mBombDamageRadius
1305d6bb,mDynamicsSphereParams[1]
1306a9c3,DashSt
130e4159,mMaxBoostSpeed
1321a55c,mKnockBackCoreImpact
132cf36a,mSensorSphereOffset
1331d5c1,mSwingDownVMaxRepeat
1334226a,mNamazu_OffsetY
1340dd60,mSamplePosOffset
1341d124,side1_L_0001
1341d124,side1_L_0001_Rotate
1342dd72,mThirdGroupBulletSecondAfterPaintNearRate
1359cf12,mEdFrame
135cd4e3,Hair00_05_ToHumanStandby_Rllr
136b6abc,mLookDir
136dea05,mLuminanceColorStep2
137ae9cd,mKnockBackAquaBallPlayerImpact
137f858e,mLand_GravGndK
138376a0,mStartRt
1384b890,mFrictionSponge
13887e5,mTargetOutCircleFrame
13948b73,Wait_Plaza_TablePhone
13975541,RunHold_Umbrella
1397861e,mIgnoreTime
13982c2a,mFirstGroupAfterGroundAddSpeedOffset
13a8f02d,mCentralStation_TrainArriveFade
13abdda5,mThirdGroupGroundMaxSpeed
13b4291e,mFesSignaturePoseInterp
13df3271,mEachGroupFirst_WallDropPaintTarget1Speed
13e15cf,mSwingBigBurst_Radius_Far
13e9a106,mColPlayerRadius
13f53c56,SuperRare
13fa52b8,mBurst_Damage_Near_Enemy
13fb9a4c,Rolling_Twins
13fdd149,mFirstPeriodMaxChargeFrame
13ffcd77,mMaxStepDiv
14077ddf,Hair02_00_StaffRoll_ServiceWaitAll01
140bbee,mStickDownRt
140e096c,Hair02_01_StaffRoll_ServiceWait
14101c58,mArmor_ColOffsetY
14194cc7,z_front_0104_AnimReduce
14195363,mBurst_SplashVelH_Enemy
1422b283,back1_0201
1422b283,back1_0201_Translate
1425c601,mBurst_SplashAroundFuzzyRate_Ch1
1429c993,mRainStrategyInkBarableParams
14373a7d,AttackL0
14380d76,RunRightHold_BombLauncher
143b4dff,mUnsendElementUseRate
1449847a,mDamageStrOffsetX
144bdfb1,Hair00_05_WaitGrindLeftTurn_SprMissle
144cd5a7,Geyser
1454417e,backB_0104
1454417e,backB_0104_Translate
146dc459,mInitPaintPos[2]
14763764,mThirdGroupSplashDrawRadius
147d20e2,mEachGroupAfter_WallDropPaintTarget2AlphaMid
147d6980,Hair00_05_ComeOn
1481a5eb,side1_R_0004
1481a5eb,side1_R_0004_Scale
148898d,Fly
14922554,Sit_Talk
14925c1a,mBombDamageRate
14997831,mSplashSpanFrame
14a1af55,mJumpGravity
14a1fdf1,ServiceWaitAll00
14a7381b,mEachGroupFirst_WallDropPaintTarget0Alpha
14b9ad12,front2_AnimReduce
14c312b5,Jump_GHoko00_Ed
14ceb708,mRiseTargetPlayerOverHeightAddOneTargetVsOnlyOneTarget
14d04902,mSinkOffsetY
14dd94d7,mHitWallSplashFirstLength
14e62162,mConveyerRadius
14f363cb,mDetectPlayerIsNearDistanceXZ
14f4c625,front2_0005
14f4c625,front2_0005_Rotate
14f74573,Bomb
150317e3,mPlayerKnockBack
15070e90,mParabolaOffsetX
1513af8e,Hair03_00_Charge_SuperBall_Damage
151b81e0,mSpeedMaxDist
152062e9,animInterp_Obj_PlazaNewsMonita
15246a4a,Silhouette_DistFar_ThermalInk_Mid
152509c8,mChargeHitImpact
1526e401,mPlayerMotionBuffer[3]
1529fad9,mPaintGauge_VelGnd
1534c6da,Xpose_00_Nrml
15374b48,WalkBackHold_BigShot
15429a4a,mMove_Acc_SettingOcta_
1543a085,Jump_Tornado00
1543c820,mSurpriseFrame
154e5193,mUseFurnitureAnim
15543d34,Hair01_05_amiiboPose_StandingVss_00_Umbr
155855a7,mBomb_KnockBackRadius_MaxCharge
155a43fe,mMissShotCycle
155c05b2,mDamageEffectiveTotalMax
15614d7f,Hair03_00_Walk
15614ddf,mSplashDamageOutsideMinDegree
1564b55a,mSecondGroupSplashPaintRadiusRate_MWPUG_High
156c3b15,mTakopterBaseAcc
1570e15f,Hair01_05_GachiHokoDunk_St
15747724,Wait_EnterTrain
157d0b5b,mShape_SphereR_Max
1594c5a0,Tnk_Coop_Walk
15a04c70,mShotRandomLRAngle
15a81dc8,mAlpha
15a9d72,mFovY
15ab86fa,Hair02_00_Wait_Plaza_Brave_Insert
15ad7904,BreadAroundPush
15ae2f8d,mAlphaTextureName
15b46735,TalkEd
15b57660,mPlayerTargetCircle2RadiusVsOnlyOneTarget
15b75b52,Wait_Plaza_LookAround
15bad0d,mObjColCapsuleParams
15bdad9a,mPunchPattern[0]
15c2a4c4,mShotNumOneTarget4
15c43435,mCoopBurst_PaintR
15dc050c,mOffsetEffectSplashBirth
15dc5c9f,back3_0201
15dc5c9f,back3_0201_Rotate
15e5a58,Hair00_05_Jump_Grind_Ed
15e8f7b2,mCollisionPlayerRadiusMaxThirdShotRate
15f286ca,mOffsetY
15f3b80a,mCollisionIndex
1607c7ea,AttackLoop
1609445,CutterEd
161ed07c,mSplash_B_DamageRateBase
1620c871,mVLiftCheck_Radius
163b34e1,ChargeTurnR
163cc23,rearSpeakerGain
163d30ca,mCorePaintWidthHalfRate_MWPUG_High
164106ad,mColPlayer_ColR
164a7930,Appear_Z
1658aa23,mFrameIntervalForceBurst
165da2d5,Wait_LocalLobby_Reception
1671edec,mSplash_B_CollsionRadiusForPlayer
16739014,NelsStatue
167c37d4,mMsgOnLeapStampCountNum
167d841a,mReflectionHitWall
167f1e7c,mSwingDownHEdFrameOnHit
16830f14,mSplashPaintWidthOneActive
1693cbc9,mIsApplyOriginal
169b71c7,mPaintGauge_ShotDirXZ_RotDegH
16a7992a,mRejectMagHumanH
16abb887,animInterp_Brd_Sparrow00
16ace4fa,center1_0300
16ace4fa,center1_0300_AnimReduce
16b21021,mPeriod_FirstHigh
16b56dfb,mThirdGroupWallCrossBoundRate
16c25e29,mRainAreaMoveWaitFrame
16c51117,mFirstGroupSplashColRadius
16c9bed7,Attack_Helmet
16cc09,mGroundVictroyLiftBoundOutDegree
16cebc2a,mRealTakopterAppearFrameInRefresh
16cf195f,mFlyAwayToBigPinchFrame
16d2af2b,Wait_Plaza_Puddle
16d459ac,mBurst_Radius_FirstShotRate
16da471,mPushBackDistPercentDamage_AfterExpand
16dd4eb0,Shoot
16e18489,NoMoney_St
16e67997,Move
16ee3064,Start2_Rig
16ef836a,Hair03_00_ThrowBomb
16f826f6,z_Hair_R_0005_Rotate
16f9c87e,mInkBarEnclosureSpeedDegPerSecond
16fd31d2,mMoveSpeedChaseToSwingSink
1702cea7,mImpactUmbrellaCanopy
17042e3d,mSideInkBarOffsetZ
1706a21,mWaterCutter
170b2cc8,mEnemyWeaponSpSuperMissileParams
170ceea8,Wait_shake
1710424f,mRot
1710d311,BombThrow_VelZ_PointSensor_Mid
171694c9,mDegReturnAway
17218e40,mNoiseBaseFreq
17270968,mShockWaveFrame
172cb5ce,JumpShoot_Nrml01_St
173045df,amiibo_WaitFreeze_B
1734df75,mCoopFirstGroupBurst_Radius_Middle
173b148b,mEnableCausticsLight
173bc447,mShockWaveDamage
173f2acc,Hair1_L
173f2acc,Hair1_L_AnimReduce
1749f0d2,Vomit
17505ee6,mSpiralSplashSameTimeBulletNum
17517b82,mEnvParamsBuffer[1]
1756cd88,mSumisoaePitchDownRate
175a16e5,mRiseFall_AltitudeCheck_OfstY
175f655,mSplash_A_FirstAroundAroundCollisionRadius
1763bf82,mBurningTime
1768e006,mTiltCenterY
176cfb48,Hair4_L_0003
176cfb48,Hair4_L_0003_Translate
176d7bf6,mFacePaintClearFrameInQuickPush
1774dc07,side1_L_0001
1774dc07,side1_L_0001_Translate
1777e33a,mGuideSideBulletNumInGroup
177de854,SitC_random
177e6679,ConsumeRt_Sub_F_Mid
1781ec,mCollisionRadiusFar
178795ab,mNearAlphaStart
178e6803,mFirstGroupBurst_KnockBackCoreImpact
178f4117,z_backA_0104_Translate
17925bdf,mPlayerSideJumpTimeMin
1793c8be,mSplash_B_FirstAroundBulletNum
17957264,mDefenceObjRadiusMaxFlickerCure
17a1aacb,mKeyBuffer[14]
17adbe25,Hair03_00_WaitHold
17b2ad5b,mMsgLv1TimerSec
17b69dfd,mSearchFadeOutFrame
17c37ee9,Close
17d2edcc,Jump_Twins02
17d8a0ab,mFoculDistance
17d93637,mForgetFrame
17dc7fe1,mBurst_Radius_Near_Ch2
17ec9fce,Hair02_00_Win_Glng_St
17f2fd5a,front2_0001_Rotate
17f65ad7,mCreateSplashLength
17f7213d,mCoopFirstGroupBurst_PaintRFar
17f7b98a,Hair02_00_Demo_09_HelpInBlender_St
17ff9a1b,Hair02_01_WaitHold_BigLaserP
180303cb,Hair00_05_amiiboPose_StandingVss_02_Glng
18049b4f,mFootPrintAnimBuffer[14]
18096607,mRadiusSoundShape_BeforeBurst
18102b1b,curveHigh
181081f1,mKColQuakeFreqency
181878ec,mAttackWaitFrame00
181c8c66,mAmbushAppearAcc
1827db37,Wait_Making01
18323dd0,mPillarPositions
18338106,mOuterConeAngle
1838152e,mCheckRadiusFoot
1839a8e7,mJrTransform
1841ebee,MoveVel_Stealth
1841ebee,MoveVel_Stealth_High
1852f78d,mWeaponAnim_Smash_StFrm_AtBangDownBig
18548715,DanceA_Shiokara_Intro
185a1d41,Lose_Rllr
1861c8a8,mSplash_A_PositionOffsetY
186610e,mInkBarableParams_Lv2
186de3e,mRollerDamage
1872d6ff,mRotSpeedAcc
1875a569,mBurst_SplashOfstY_Cnt0
1875d90e,mChaseTargetDistance
187d3149,mSplash_D_PaintFarR
1884627,mPaintGauge_ShotDirXZ_DiffDegL
1886db00,mLandSplashPit
1888547c,mFlyOffsetX
188a8055,mSpeedLastHit
1893813b,mPlayerLookStartTimeAfterServiceAnim
18985c4e,mDemoRapMessageBuffer[]
189872d3,mUsePlayerDist
18baab1f,mRejectParams
18bb8763,mStandUpImpactSide
18bbb428,mRotateFrameInQuake
18c22c27,Jet_SprLanding_lastMin
18d1eaae,mThrowBurst_KnockBackRadius
18d43616,pauseMuteOffSec
18d6fa1c,z_Hair_R_0004_AnimReduce
18d75a07,CloudParamCloudy
18dcd4fd,WaitHold_BombLauncher
18e26c6e,mImpactBallCenterOffset
18e549f0,WaitGrindRightTurn_Nrml
18e73bff,Hair00_05_amiiboPose_StandingVss_00_Chrg
18ebc7a2,mArmLength_Normal
18ec6460,mLastSuccessFrame
18f649fc,mSoundPitchFrame
18fd4539,Wait_LookAround
19012237,mChaseDistanceYPlus
1901a204,LastReturn
190da86f,mInkType
1914c178,mEscapeNoseDamageLevel3
191effac,mMoveCancelRange
19209fd3,mEscapeBomb_Dist
19218ec4,mGndCol_ReactType
192262ad,mMarkingFrameHigh
1927a929,Hair02_00_Wait_Making02_St
192a5c6,mBindEnemy0
1931d68c,mJumpGnd_Charge
1932e86a,mInvokeMotion_Frm
193f8828,mBodyRotStopFrame
19424cb6,mBoundPaintRadiusWallRate
1942c8cc,nape2_0002_AnimReduce
1944330c,mShrinkFrame
194b9921,mAttackPatternInFirst_Lv3
194d1b3,mChargeSpeedFast
1950e3ee,mReactHumanOnFloor
1958c574,mBombSpeed
1959aa8c,mActorOffset[4]
19690eac,mStaticCapsuleParams[12]
196d97e9,mStaticCapsuleParams[]
197d4fc7,mQuakeAmplitude
1981be1,mWeakDisappearFrame
19858060,mFootPaintRadius
1985b3dd,mAverageSpeed
19893f3a,mQuickChaseWaitFrame
19931a52,mDynamicLightGridOffset
199f2b65,mPillerRadius
19a408f,mSkinColorId
19aef086,mBackApperCheckRate
19b6a741,OpInk_VelGnd_ShotK
19b6a741,OpInk_VelGnd_ShotK_Mid
19b70539,mWarpDestroyDamage
19bf196e,Hair01_05_Charge_SuperBall_Damage
19c7ba69,animInterp_Lft_LastBosslWallN30x15x30_Octa
19ca57b5,mMaxHpMid
19d7b4ce,mModelScale
19d99d0,Splashed_St
19e10c6f,Hair01_05_ToHumanStandby
19e18d8a,mMeterAnimLength
19f1e04f,mBurst_SplashPitL_Ch0
19f3b3fc,WaitGrind_BBll
19f79d1a,mRandomRewardBuffer
1a00ef92,mCreateSplashNum
1a04461c,mCrossPaintRayLength_MaxCharge
1a0c086e,mAttackAreaSize
1a0f3271,Hair02_01_Xpose_00_Twins
1a135db7,mShotMaxSizeFrame
1a1b0780,mPaintNearestSplashPaintScale
1a1cb9bc,RunHold_RainCloud
1a26b849,mFrameNoBarrierExtend_BankGolden
1a32da4e,Hair00_05_ThrowHold
1a36620d,AnimParams
1a36fa90,mHideActorBuffer[16]
1a3a0759,WaitHold_WtrCtr
1a403401,mPaintCheckPosOffsetSpeedRateWallY_D
1a41c29f,mDamageStopFrame
1a4c73c2,Hair02_01_Demo_Result_St
1a545262,mSplash_B_InitAddDegXOffset
1a5efa9b,mDisableStickMoveSpeed
1a620d62,paint
1a65561d,BreadQuickPull
1a67db75,mIsTwoSided
1a6b8bff,mRotSpeedFind
1a82d73d,mTimerFrame
1a8ecc75,Hair00_05_amiiboPose_StandingVss_02_Twns
1a99101a,mPillarRadius
1a9cffda,mSpringK
1aab097e,mNoTargettableMapPointDist
1ab834f7,mFloatCurveWall
1ab9d81b,mBgmMainState
1ad3005b,z_Hair_R_0005_Scale
1ade0676,animInterp_Obj_Sofa
1ae4c8a7,mLevelBuffer[2]
1aeda6c1,mBalloonOffset
1af73f43,mRainAreaRadiusRateMid
1afba88a,mAttackCheckRadius
1b06884e,mBurst_Damage_Far_Cnt2
1b157843,Silhouette_DistFar_WaterCutter_High
1b1a145c,Hair2_R_0004
1b1a145c,Hair2_R_0004_Rotate
1b280294,mBurst_Offset
1b32130,Jump_BigLaserP00_Ed
1b3b0dcf,mSphereSplashRoundAxisX3
1b45231a,mCameraBuffer[18]
1b4bfadf,mRainAreaMoveSpeed
1b5b849,mGuardNeckAngleCurve
1b6b3b7d,mDeparture_AmbienceDuckingParams
1b6c1e09,mKillIkuraEvtRush
1b70f0f1,mFly_WallKr
1b756a1b,mZakoActiveMaxEach
1b9137ec,mFirstGroupBulletFirstPaintFarR
1b9373d5,top_C_Rotate
1b97f361,mRotLimitAngleChargeStWait
1ba3383d,mHideActorBuffer[1]
1ba438d2,mShotRadius
1ba4894d,mFootSplashSpanFrame
1ba7df6d,Damage_Twins
1bb76ff5,mMaxHp
1bb83d4a,mDuckers[1]
1bb9e947,mRiseFall_ToSquid_GravityDownSt
1bbb417f,Hair00_05_Shoot_Umbrella
1bc0533e,Sit_Sleep_St
1bc1a5ee,Wait_Making00_Octa
1bc30340,mCoopSplashDamageOutsideMiddle2Value
1bc77cd9,mHitPlayerDrapCollisionRadius
1bd29ed1,scalerA_0201_Rotate
1be5046e,mRandomRate
1be7f845,mTakopterNum
1be935bd,mGndCol_FallSpeedBack
1bf31cc6,Hair02_01_Wait_MakingOcta03
1bf64357,mBackStepMoveAcc
1bfb1731,Sqd_Wait
1c0f7664,mCrossPaintRayLength_LastBoss
1c10332f,backA_0104
1c10332f,backA_0104_Scale
1c12ebc2,Hair00_05_amiiboPose_StandingVss_02_Chrg
1c133f3,mPitchSwingCount
1c203722,Hair1_R_0002
1c203722,Hair1_R_0002_Translate
1c210044,Hair1_L_0002
1c210044,Hair1_L_0002_AnimReduce
1c354e77,mBurst_Damage_HalfSphereThresholdY
1c3c489d,Hair00_05_amiiboPose_Sitting_Drink_A
1c4112fe,mPlayerKnockBackAngleDegAtSide
1c43e8f9,mPanelStopTimeU
1c52da07,ChargeStLoop
1c552b74,ToHumanStandby_BBll
1c56fc0,Sqd_Jump
1c64bfcf,Hair02_00_Rolling_Twins_Ed
1c6e9c76,mFlashWaitSpeedUp
1c761a18,mForgetFrameOct
1c7ff21,mSumisoaeTiming_Offset2
1c86c004,WalkHold_SprMissle
1c898689,mSecondGroupSplashDepthScaleRateByWidth
1c99781a,mDetectBreadIsFrontOfPlayerAngleDeg
1c9e9c59,mBattleStartDemo_ContinuePos
1ca37e3e,mApproachStateTargetHeightVsOnlyOneTarget
1ca624ac,mInterpFrame
1ca6eb41,mBoundVelY
1ca8c62e,mPaintNearCenterRadius
1cae6529,side_L_Scale
1caf21b6,mBulletDamageMinDist_MWPUG_Use
1cb1e755,mRiseMinHeightAddOneTargetVsOnlyOneTarget
1cb464fa,mStampBigAttackMoveDist
1cb69f72,ThrowBomb_Umbrella
1cb9af46,mBurst_PaintR_Cnt2
1cc60534,mStampEdWeakImpactColLength
1cc624fa,mReturnToPatrolSpeed
1cccdfd8,Hair00_05_amiiboPose_Sitting_Photo
1cd4ba58,Pose_B_Ed
1cdc7441,mCollisionRadiusNear_MWPUG_Max
1ce2aaad,mAttackShapeHeight
1ce4265,mRadiusChargeMax
1ce9f6d7,mFlakeRareIntens
1cec1dd1,top_C_Scale
1cf6d3f6,Hair00_05_amiiboPose_StandingVss_00_Glng
1cfb53dd,mSwingPlayerCollisionUseHoldCollision
1cfc9fd3,mQuakeFrameInShot
1d016946,z_backB_0104_Scale
1d0402,mPlayerKnockBackInShudder
1d05120c,mImpactStartDist
1d0d3c77,mBreakPaintRadius
1d11c6,amiiboPose_StandingVss_02_BBll
1d12ff96,mCoopSecondGroupBurst_Radius_Middle
1d1360af,mSpout_SplashDrawR_Third
1d16c074,mFuseTime
1d176845,mFootSplashColRadius
1d1a5423,mVertInkBarAttachPos
1d1ed92c,mSplashPaintRadius
1d205864,mRollerHitImpactYSwingDownH
1d25f29e,headphoneA
1d25f29e,headphoneA_Scale
1d302271,mSurprisedMessageBuffer[1]
1d32334c,mSplashBurst_KnockBackKb
1d327371,mCurlScale
1d33fb94,mUseCustomMainLight
1d3f86c4,mReflectByEnemy
1d429f16,mShieldParams
1d491683,mBombPattern[3]
1d4d5e8e,mGuardStartRadius
1d4dff6b,Xpose_00_Rllr
1d533e36,Hair02_00_WaitHold_Sp
1d5af241,PoseTest2
1d5b952d,mFrameNoBarrierFirst
1d5d03e5,Hair03_00_Wait_MakingOcta01
1d5fa072,Silhouette_DistNear_WaterCutter_High
1d635320,Hair4_R_0005
1d635320,Hair4_R_0005_Rotate
1d654093,BreadQuickPush
1d6e483f,mHpAttack
1d711f7a,mDynamicsSphereParams[16]
1d757a0d,mThresholdForEnemy
1d775834,value
1d781ca7,mCollisionRadiusMiddleRate_MWPUG_High
1d79704e,mAirFall_FadeOutRate
1d7ec95e,mSplash_D_DamageRateOffset
1d8043bd,nape2_0005
1d8043bd,nape2_0005_Translate
1d86de2d,mbSilhouetteEnable
1d8bcfcc,side2_L_0004
1d8bcfcc,side2_L_0004_Translate
1da31460,mShotVelZ
1da41045,mColHeightBullet
1da57b0a,mStartAnimInterp
1da6bbe8,mStartExpandDistance
1da9493f,mSecondGroupBulletBoundPaintRadius
1dae2293,mLightCtrlLoopStart
1dafb9d2,mImpactForEnemy
1db64491,ChaseShot
1db6ebb0,MsnDemo_Start_Twins
1dc95979,mChallengeClearFrame
1dca6243,mReflectorIntensSashimiInFest
1dccac47,mJumpFrame
1dd0371b,mBombDamageRadiusNear_A
1dd2df05,mPunchHitDamageNormal
1dd3c2ac,FireW
1ddbf5f6,mPunchPattern[21]
1ddd8824,Hair02_01_Win_Twins_St
1dde1b89,SeqMgrMissionOctaParams
1ddf4af7,mThanks_TravelFrameL
1de137f3,mIsLeftHand
1de86394,mMove_VelGnd_WeaponHeavy_Stealth
1dea634a,mSplash_A_WallDropPaintTarget2AlphaEnd
1debf855,mPaymentActionTimeFrame
1df340b6,mSplashDamageInsideRate_MWPUG_High
1df817ae,z_Hair_L_0004_Scale
1dfc328e,ConsumeRt_Sub_B_Low
1dff156d,mObjectEffect_Up_DamageRt_High
1e0143e5,mSelfDestructNoTargetFrame
1e11c26f,mCoopBurst_Damage_Near
1e14f8e5,mBurst_Damage_Far_Enemy
1e166d1e,mSecondGroupBurst_Damage_Middle
1e1a14e6,mFocusBoneLostLerp
1e272421,mFirstGroupBulletAfterCollsionRadiusForFieldOffset
1e2c6ee3,mPlayerSpeedMax
1e315f3,mNewsFestTransform
1e4b3dfe,legD1
1e4efdba,Jump_Bubble00_St
1e53c376,mSpongeSoundLimit
1e5a7ca3,mType
1e612d57,mRollerSplashDamageK
1e65a939,mBurst_SplashVelHMid
1e66d7fb,mRotSpeedCharge
1e763667,mExplodeDamageFarRadius
1e76b545,mBulletSpeedBombCmnCore
1e7b1c48,Hair00_05_amiiboPose_StandingVss_00_Twns
1e7f6641,Tstance_Hair
1e8c372a,mProneCnt_LV1
1e90dfe6,mSpeedMove
1e955393,mShotMonitorRadius
1e964623,MoveVelRt_Human_Shot
1e9c59a4,Jump
1ea2ad6c,mTargetInCircleRadiusMid
1eaa1b96,mFullChargePaintRadiusRateLastSplashToOther
1eb62dfe,mNC_Burst_SplashPitH
1eb977aa,Wait_Shop_Lnchr_Change
1ec70d9b,HsbOffsetParam
1ec9ef4,mHeightAttenuPower
1ecb7c84,mGuideSideGroup
1ed2c6d7,mColRadiusL
1ed7a854,mSensorParamsBaseName
1ed8aab2,BaseNoiseForFreq1
1edc2296,frontR_0200_Rotate
1ee059b3,back1_0004
1ee059b3,back1_0004_Scale
1ee2a0fd,animInterp_Lft_DecaSlopeP30x120x120_Octa
1ef1b55d,mIsUseSprinkler
1f026936,mAdditionalChanceTimeOnRide
1f03ee10,mBuildOverRunRate
1f0aaf75,mStaticCapsuleParams
1f0c2980,SpinnerCharge
1f10885c,Hair02_00_Wait_Plaza_IdolFan_A
1f1e6756,mCanopyHitOtherCanopyVolume
1f1e6ab2,OffMapPhone
1f246b8c,mPaintVelThreshold
1f25a66e,animInterp_Obj_CSGlass_Octa
1f26439b,mKeyBuffer[3]
1f2df508,mChaseTargetAngle
1f3036d5,mNC_CrossPaintRadius
1f37a123,mDynamicsSphereParams[26]
1f3c654,front1_Translate
1f3fe6a2,mColHeightPlayer
1f41e9a9,Hair02_01_Close_Umbrella
1f429db5,mCharge_DecrFramePerGachaJump
1f49916f,mStRotRate
1f58dec9,mRotateAxisChangeFreq
1f5ebce2,mBulletCollisionRadiusForPlayerInitRate
1f6053b7,Level1Main
1f65883c,mOffsetY_Invisible
1f65f8ae,mSplashBulletForDieFrame
1f6b2e93,mOffset
1f6fd074,mLostIkuraIntervalSecond
1f79282e,AppearSt
1f7e9cb0,backB1_0103
1f7e9cb0,backB1_0103_Translate
1f865b2c,mStaticCapsuleParams[9]
1f8eaef2,mRainCloudDamageInterval
1f9d4baf,mPunchPattern[11]
1faa5fbd,mSplashBurst_CrossPaintRayLength
